2021-08-19 13:33:09.000000+00:00 => 
2021-08-19 13:33:09.000000+00:00 => /wp/?wc-ajax=wc_stripe_get_cart_details
2021-08-19 13:33:09.000000+00:00 => ======================================= Initializing Beans
2021-08-19 13:33:59.000000+00:00 => /wp/wp-admin/admin-ajax.php
2021-08-19 13:34:00.000000+00:00 => /wp/wp-cron.php?doing_wp_cron=1629380040.0874340534210205078125
2021-08-19 13:34:24.000000+00:00 => /wp/wp-admin/admin-ajax.php
2021-08-19 13:35:14.000000+00:00 => /wp/cart/
2021-08-19 13:35:16.000000+00:00 => /wp/wp-cron.php?doing_wp_cron=1629380115.3576419353485107421875
2021-08-19 13:35:21.000000+00:00 => /wp/?wc-ajax=wc_stripe_get_cart_details
2021-08-19 13:35:38.000000+00:00 => /wp/cart/
2021-08-19 13:35:39.000000+00:00 => /wp/wp-cron.php?doing_wp_cron=1629380138.7185459136962890625000
2021-08-19 13:35:41.000000+00:00 => /wp/?wc-ajax=wc_stripe_get_cart_details
2021-08-19 13:35:44.000000+00:00 => /wp/wp-admin/admin-ajax.php
2021-08-19 13:35:45.000000+00:00 => /wp/wp-admin/
2021-08-19 13:35:54.000000+00:00 => /wp/checkout/
2021-08-19 13:35:55.000000+00:00 => /wp/cart/
2021-08-19 13:35:58.000000+00:00 => /wp/?wc-ajax=wc_stripe_get_cart_details
2021-08-19 13:35:58.000000+00:00 => /wp/shop/
2021-08-19 13:36:00.000000+00:00 => /wp/wp-admin/admin-ajax.php
2021-08-19 13:36:03.000000+00:00 => /wp/?wc-ajax=add_to_cart
2021-08-19 13:36:05.000000+00:00 => /wp/cart/
2021-08-19 13:36:07.000000+00:00 => /wp/?wc-ajax=wc_stripe_get_cart_details
2021-08-19 13:36:08.000000+00:00 => /wp/checkout/
2021-08-19 13:36:12.000000+00:00 => /wp/?wc-ajax=update_order_review
2021-08-19 13:36:24.000000+00:00 => /wp/?wc-ajax=update_order_review
2021-08-19 13:36:28.000000+00:00 => /wp/?wc-ajax=update_order_review
2021-08-19 13:36:31.000000+00:00 => /wp/?wc-ajax=update_order_review
2021-08-19 13:36:33.000000+00:00 => /wp/?wc-ajax=update_order_review
2021-08-19 13:36:34.000000+00:00 => /wp/?wc-ajax=update_order_review
2021-08-19 13:36:43.000000+00:00 => /wp/?wc-ajax=checkout
2021-08-19 13:36:44.000000+00:00 => /wp/wp-cron.php?doing_wp_cron=1629380203.3984489440917968750000
2021-08-19 13:36:45.000000+00:00 => /wp/checkout/order-received/64/?key=wc_order_w4YaVdlXR9wNa
2021-08-19 13:36:47.000000+00:00 => /wp/wp-admin/admin-ajax.php
2021-08-19 13:36:48.000000+00:00 => /wp/?wc-ajax=get_refreshed_fragments
2021-08-19 13:36:48.000000+00:00 => /wp/wp-admin/admin-ajax.php?action=as_async_request_queue_runner&nonce=3cdbc3e18d
2021-08-19 13:36:52.000000+00:00 => /wp/shop/
2021-08-19 13:37:00.000000+00:00 => /wp/wp-admin/admin-ajax.php
2021-08-19 13:37:01.000000+00:00 => /wp/wp-admin/edit.php?post_type=shop_order
2021-08-19 13:37:04.000000+00:00 => /wp/wp-admin/admin-ajax.php
2021-08-19 13:37:05.000000+00:00 => /wp/?wc-ajax=add_to_cart
2021-08-19 13:37:06.000000+00:00 => /wp/cart/
2021-08-19 13:37:09.000000+00:00 => /wp/?wc-ajax=wc_stripe_get_cart_details
2021-08-19 13:37:09.000000+00:00 => /wp/cart/
2021-08-19 13:37:11.000000+00:00 => /wp/checkout/
2021-08-19 13:37:14.000000+00:00 => /wp/?wc-ajax=get_refreshed_fragments
2021-08-19 13:37:14.000000+00:00 => /wp/?wc-ajax=update_order_review
2021-08-19 13:37:30.000000+00:00 => /wp/?wc-ajax=checkout
2021-08-19 13:37:31.000000+00:00 => /wp/?wc-ajax=update_order_review
2021-08-19 13:37:42.000000+00:00 => /wp/
2021-08-19 13:37:43.000000+00:00 => /wp/wp-cron.php?doing_wp_cron=1629380262.4345960617065429687500
2021-08-19 13:37:45.000000+00:00 => /wp/?wc-ajax=get_refreshed_fragments
2021-08-19 13:37:48.000000+00:00 => /wp/cart/
2021-08-19 13:37:52.000000+00:00 => /wp/wp-admin/admin-ajax.php
2021-08-19 13:37:53.000000+00:00 => /wp/?wc-ajax=wc_stripe_get_cart_details
2021-08-19 13:37:56.000000+00:00 => /wp/wp-admin/post.php?post=64&action=edit
2021-08-19 13:38:01.000000+00:00 => /wp/wp-admin/admin-ajax.php
2021-08-19 13:38:01.000000+00:00 => /wp/wp-admin/admin-ajax.php
2021-08-19 13:38:13.000000+00:00 => /wp/wp-admin/post.php
2021-08-19 13:38:14.000000+00:00 => /wp/wp-admin/post.php?post=64&action=edit&message=4
2021-08-19 13:38:15.000000+00:00 => /wp/wp-admin/admin-ajax.php
2021-08-19 13:38:17.000000+00:00 => /wp/wp-admin/admin-ajax.php?action=oembed-cache&post=64
2021-08-19 13:38:17.000000+00:00 => /wp/wp-admin/admin-ajax.php
2021-08-19 13:38:25.000000+00:00 => /wp/wp-admin/edit.php?post_type=shop_order
2021-08-19 13:38:26.000000+00:00 => /wp/wp-admin/admin-ajax.php
2021-08-19 13:38:28.000000+00:00 => /wp/wp-admin/admin-ajax.php
2021-08-19 13:38:38.000000+00:00 => /wp/wp-admin/edit.php?s=&post_status=all&post_type=shop_order&_wpnonce=2940563018&_wp_http_referer=%2Fwp%2Fwp-admin%2Fedit.php%3Fpost_type%3Dshop_order&action=mark_processing&m=0&_customer_user=&paged=1&post%5B%5D=64&action2=-1
2021-08-19 13:38:39.000000+00:00 => /wp/wp-cron.php?doing_wp_cron=1629380318.3897149562835693359375
2021-08-19 13:38:40.000000+00:00 => /wp/wp-admin/edit.php?post_type=shop_order&paged=1&bulk_action=marked_processing&changed=1&ids=64
2021-08-19 13:38:43.000000+00:00 => /wp/wp-admin/admin-ajax.php
2021-08-19 13:38:45.000000+00:00 => /wp/rewards-program/
2021-08-19 13:38:49.000000+00:00 => /wp/wp-admin/admin-ajax.php
2021-08-19 13:38:54.000000+00:00 => /wp/my-account/
2021-08-19 13:39:01.000000+00:00 => /wp/referral-program/
2021-08-19 13:39:01.000000+00:00 => /wp/rewards-program/
2021-08-19 13:39:04.000000+00:00 => /wp/cart/
2021-08-19 13:39:06.000000+00:00 => /wp/?wc-ajax=wc_stripe_get_cart_details
2021-08-19 13:39:08.000000+00:00 => /wp/cart/
2021-08-19 13:39:11.000000+00:00 => /wp/?wc-ajax=wc_stripe_get_cart_details
2021-08-19 13:39:12.000000+00:00 => /wp/cart/
2021-08-19 13:39:16.000000+00:00 => /wp/?wc-ajax=get_refreshed_fragments
2021-08-19 13:39:16.000000+00:00 => /wp/?wc-ajax=wc_stripe_get_cart_details
2021-08-19 13:39:17.000000+00:00 => /wp/checkout/
2021-08-19 13:39:21.000000+00:00 => /wp/?wc-ajax=update_order_review
2021-08-19 13:39:34.000000+00:00 => /wp/?wc-ajax=checkout
2021-08-19 13:39:35.000000+00:00 => /wp/?wc-ajax=update_order_review
2021-08-19 13:39:43.000000+00:00 => /wp/cart/
2021-08-19 13:39:44.000000+00:00 => /wp/wp-cron.php?doing_wp_cron=1629380383.6100389957427978515625
2021-08-19 13:39:48.000000+00:00 => /wp/?wc-ajax=get_refreshed_fragments
2021-08-19 13:39:48.000000+00:00 => /wp/?wc-ajax=wc_stripe_get_cart_details
2021-08-19 13:39:50.000000+00:00 => /wp/cart/
2021-08-19 13:39:53.000000+00:00 => /wp/?wc-ajax=wc_stripe_get_cart_details
2021-08-19 13:39:54.000000+00:00 => /wp/checkout/
2021-08-19 13:39:58.000000+00:00 => /wp/?wc-ajax=update_order_review
2021-08-19 13:40:01.000000+00:00 => /wp/wp-admin/admin-ajax.php
2021-08-19 13:40:05.000000+00:00 => /wp/?wc-ajax=checkout
2021-08-19 13:40:17.000000+00:00 => /wp/checkout/order-received/65/?key=wc_order_lfYptS71mkSmZ
2021-08-19 13:40:20.000000+00:00 => /wp/?wc-ajax=get_refreshed_fragments
2021-08-19 13:40:44.000000+00:00 => /wp/wp-admin/admin-ajax.php
2021-08-19 13:40:45.000000+00:00 => /wp/wp-cron.php?doing_wp_cron=1629380444.4551329612731933593750
2021-08-19 13:40:50.000000+00:00 => /wp/wp-admin/admin-ajax.php
2021-08-19 13:42:02.000000+00:00 => /wp/wp-admin/admin-ajax.php
2021-08-19 13:42:03.000000+00:00 => /wp/wp-cron.php?doing_wp_cron=1629380523.2960720062255859375000
2021-08-19 13:42:45.000000+00:00 => /wp/wp-admin/admin-ajax.php
2021-08-19 13:42:45.000000+00:00 => /wp/wp-cron.php?doing_wp_cron=1629380565.3455319404602050781250
